Restaurant Name,Rating,Cuisine,Average Price,Average Delivery Time,Safety Measure,Location,Is_Duplicate
The Briston Kitchen,3.9,"North Indian,Fast Food,Chinese,Momos",150.0,32.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Djlecious,4.3,"Bakery,Desserts,Beverages",150.0,31.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Hashim Restaurant,4.0,North Indian,150.0,29.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Shyam Ji Restaurant,3.4,"North Indian,Chinese,South Indian,Desserts,Ice Cream,Beverages",150.0,42.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Kaila Devi Fast Food Corner,4.0,"North Indian,South Indian",150.0,27.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Maa Vaishno Restaurant,3.9,North Indian,100.0,32.0,Restaurant partner follows WHO protocol,Agra,False
Pizza House Family Restautant,3.0,"Pizza,Burger,Beverages,Shake,Bakery",100.0,45.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Romo's Bistro,3.9,"North Indian,Chinese,Fast Food,Momos,Rolls",100.0,47.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Cake & More,4.2,"Shake,Fast Food,Beverages,Pizza,Desserts",100.0,27.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Amritsari Tandoori Kulcha Wa Choor Choor Naan,4.1,"North Indian,Healthy Food",100.0,36.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Biryani By Kilo,4.4,"Biryani,Hyderabadi,Kebab,North Indian,Ice Cream,Desserts",100.0,70.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Vada Pav King,4.3,"Fast Food,Street Food,Beverages",100.0,33.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Giani Ice Cream,3.9,"Desserts,Ice Cream",100.0,22.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Retro Thrill Cafe,3.8,"Fast Food,Pizza,Burger,Rolls,Chinese,North Indian,Biryani,Beverages",100.0,51.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Brie,3.8,"Chinese,Fast Food,Desserts,Beverages,Burger,Sandwich,Continental,Shake",100.0,41.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Bikaner Express,3.8,"North Indian,South Indian,Chinese,Street Food,Beverages",100.0,38.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
AK Pizza Wala,4.0,"Pizza,Burger,Fast Food",100.0,35.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Pinch Of Spice,4.2,"North Indian,Chinese,Mughlai",500.0,31.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Quality Paratha & Fast Food Restaurant,4.1,"North Indian,Chinese,Rolls,Fast Food",500.0,35.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Pandit Bhojnalaya,3.6,"North Indian,South Indian,Chinese",500.0,47.0,Restaurant partner follows WHO protocol,Agra,False
Bhagat Halwai,4.0,"Mithai,Chinese,South Indian,Street Food,Fast Food,Beverages",500.0,31.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Rolls King,3.8,"North Indian,Rolls,Fast Food",500.0,29.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
A & C Burger Shoppee,4.1,"Fast Food,Pizza,Burger,Sandwich,Beverages,Shake",500.0,37.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Pizza Cafe,4.1,"Pizza,Fast Food,Beverages",500.0,30.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Punjabi Chaap Bistro,4.1,"North Indian,Biryani,Rolls,Momos,Shake",500.0,23.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Dilshad Biryani,4.2,Biryani,500.0,30.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Delhi 6,4.1,"North Indian,Street Food",500.0,33.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Dry & Gravy,3.7,"Chinese,Fast Food,Beverages",500.0,38.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Vasudev Foods,3.4,"Street Food,Sandwich,Beverages,Burger,Italian,North Indian,Pasta,Momos",500.0,37.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Guru Kripa Bhojnalaya,3.9,North Indian,50.0,42.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Urban Vada Pav,3.9,"Street Food,Wraps,Sandwich,Shake,Momos,Fast Food,Pizza",50.0,38.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
EATCO.,3.6,"North Indian,Fast Food,Mughlai,Rolls",50.0,47.0,Restaurant partner follows WHO protocol,Agra,False
Spiced Brew,4.3,"Coffee,Fast Food,Momos,Shawarma,Burger,Sandwich,Waffle,Shake",50.0,29.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Jain Restaurant,4.0,"North Indian,South Indian",50.0,35.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Rahul Dhaba,3.7,North Indian,50.0,59.0,Restaurant partner follows WHO protocol,Agra,False
Raj Rasoi,4.0,"North Indian,South Indian,Chinese,Street Food,Fast Food,Beverages,Shake",50.0,27.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Shri Mangalam Dhabha,3.6,North Indian,50.0,43.0,Restaurant partner follows WHO protocol,Agra,False
Shri Balaji Juice Bhandar,4.1,"Shake,Juices",50.0,22.0,Restaurant partner follows WHO protocol,Agra,False
Faasos - Wraps & Rolls,4.2,"Rolls,Wraps,North Indian",50.0,37.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Bhagwan Corner Cakes And Pastries,3.3,"Bakery,Desserts",50.0,45.0,Restaurant partner follows WHO protocol,Agra,False
M/s Guru Mahima Shudh Shakari Bhojnalay,3.4,North Indian,50.0,28.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Pakeeza Meat House,4.0,Mughlai,300.0,20.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Vadilal Ice Creams,4.3,"Ice Cream,Desserts,Beverages",300.0,28.0,Restaurant partner follows WHO protocol,Agra,False
Cake Company,3.6,"Desserts,Bakery",300.0,39.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Gopaldas Parathe Wale,3.8,North Indian,300.0,36.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Hungernomia,3.7,"Burger,Fast Food,Pizza,Sandwich,Wraps,Street Food,Beverages,Desserts",300.0,31.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
